NAME,DISTRICT,Previously held by,CYCLECAND,CURCAND,PARTY,INCUMBENCY,Netreceipts,NetDisbments,Inidv,ECOH,CandContrib,CandLoan,CandLoanRepay,DebtOwed,EndDate
"Chatzky, Peter",NY 017,R,Y,1,D,Not an Incumbent,"5,801,509.00","277,434.00","300,254.00","5,524,075.00",5,5751000,250000,5501000,12/31/2025
"Lawler, Mike",NY 017,R,Y,1,R,Incumbent,"5,137,519.28","1,798,016.28","2,035,916.00","3,508,871.00",0,0,0,0,12/31/2025
"Miller-Meeks, Mariannette",IA 001,R,Y,1,R,Incumbent,"4,115,845.96","1,138,549.96","1,498,550.00","3,351,039.00",0,0,0,0,12/31/2025
"Ciscomani, Juan",AZ 006,R,Y,1,R,Incumbent,"3,891,338.07","976,102.07","1,365,470.00","3,151,796.00",0,0,0,0,12/31/2025
"Van Orden, Derrick",WI 003,R,Y,1,R,Incumbent,"4,268,119.00","2,050,199.00","2,455,557.00","2,734,726.00",0,0,0,0,12/31/2025
"Issa, Darrell",CA 048,R,Y,1,R,Incumbent,"1,431,703.39","431,495.39","512,928.00","2,644,824.00",0,0,56705,5024682,12/31/2025
"Evans, Timothy",CO 008,R,Y,1,R,Incumbent,"2,994,290.79","518,339.79","914,762.00","2,550,943.00",0,0,0,53246,12/31/2025
"Kean, Tom",NJ 007,R,Y,1,R,Incumbent,"3,217,539.31","796,344.31","1,416,993.00","2,469,481.00",0,0,0,0,12/31/2025
"Perez, Marie",WA 003,D,Y,1,D,Incumbent,"3,145,377.61","747,824.61","1,513,345.00","2,424,013.00",0,0,0,0,12/31/2025
"Kiggans, Jen",VA 002,R,Y,1,R,Incumbent,"3,550,444.88","1,278,009.88","1,622,386.00","2,317,912.00",0,0,0,77922,12/31/2025
"Bohannan, Christina",IA 001,R,Y,1,D,Not an Incumbent,"2,961,456.01","762,906.01","2,726,050.00","2,305,766.00",7000,0,0,0,12/31/2025
"Barrett, Tom",MI 007,R,Y,1,R,Incumbent,"3,743,056.00","1,569,850.00","1,948,162.00","2,195,305.00",0,0,0,8724,12/31/2025
"Valadao, David",CA 022,R,Y,1,R,Incumbent,"3,033,787.00","958,577.00","803,757.00","2,120,745.00",0,0,0,0,12/31/2025
"Nunn, Zach",IA 003,R,Y,1,R,Incumbent,"2,614,010.77","684,874.77","637,829.00","1,981,969.00",0,0,0,0,12/31/2025
"Mackenzie, Ryan",PA 007,R,Y,1,R,Incumbent,"2,544,258.83","816,510.83","958,995.00","1,830,988.00",0,0,0,31685,12/31/2025
"Kaptur, Marcy",OH 009,D,Y,1,D,Incumbent,"1,691,383.00","432,194.00","951,373.00","1,708,115.00",0,0,0,0,12/31/2025
"Perry, Scott",PA 010,R,Y,1,R,Incumbent,"2,871,690.03","1,291,119.03","1,684,472.00","1,662,490.00",0,0,0,279643,12/31/2025
"Treble, Jonathan",AZ 001,R,Y,1,D,Not an Incumbent,"2,078,343.00","533,786.00","1,038,269.00","1,544,557.00",1018252,0,0,0,12/31/2025
"Mendoza, Joanna",AZ 006,R,Y,1,D,Not an Incumbent,"2,886,764.00","1,344,303.00","2,565,108.00","1,542,460.00",0,0,0,0,12/31/2025
"Stelson, Janelle",PA 010,R,Y,1,D,Not an Incumbent,"2,185,236.05","679,766.05","1,934,676.00","1,520,707.00",0,0,0,0,12/31/2025
"Landsman, Greg",OH 001,D,Y,1,D,Incumbent,"1,809,034.39","491,205.39","1,209,929.00","1,497,943.00",0,0,0,0,12/31/2025
"Varela, Brian",NJ 007,R,Y,1,D,Not an Incumbent,"1,759,374.79","335,790.79","607,368.00","1,423,583.00",10,1150000,0,1150000,12/31/2025
"Gonzalez, Vicente",TX 034,D,Y,1,D,Incumbent,"1,513,030.00","507,508.00","860,979.00","1,287,581.00",0,0,250000,0,12/31/2025
"Conley, Cait",NY 017,R,Y,1,D,Not an Incumbent,"1,907,157.00","680,646.00","1,697,034.00","1,226,510.00",7000,0,0,0,12/31/2025
"Rutinel, Manny",CO 008,R,Y,1,D,Not an Incumbent,"2,481,539.84","1,277,653.84","2,494,620.00","1,203,885.00",0,0,0,0,12/31/2025
"Bennett, Rebecca",NJ 007,R,Y,1,D,Not an Incumbent,"1,940,198.09","767,505.09","1,821,233.00","1,172,693.00",0,0,0,0,12/31/2025
"Riker, Brandon",CA 048,R,Y,1,D,Not an Incumbent,"1,520,650.46","459,729.46","713,049.00","1,060,921.00",94125,716383,0,716383,12/31/2025
"Brink, Bridget",MI 007,R,Y,1,D,Not an Incumbent,"1,639,079.88","619,247.88","1,603,216.00","1,019,832.00",0,20000,0,20000,12/31/2025
"Luria, Elaine",VA 002,R,Y,1,D,Not an Incumbent,"1,126,427.00","116,159.00","1,026,517.00","1,010,268.00",7212,0,0,0,12/31/2025
"Mandel, Charles",TX 034,D,Y,1,R,Not an Incumbent,"1,001,717.00","177,631.00","1,582.00","910,557.00",134,1000000,0,1000000,12/31/2025
"Trone Garriott, Sarah",IA 003,R,Y,1,D,Not an Incumbent,"1,384,159.67","537,234.67","1,315,463.00","846,924.00",120,0,0,0,12/31/2025
"Bird, Shannon",CO 008,R,Y,1,D,Not an Incumbent,"1,202,498.83","439,422.83","1,154,975.00","763,076.00",0,0,0,0,12/31/2025
"Davidson, Beth",NY 017,R,Y,1,D,Not an Incumbent,"1,487,737.04","750,203.04","1,483,279.00","737,534.00",0,0,0,0,12/31/2025
"Braun, John",WA 003,D,Y,1,R,Not an Incumbent,"837,128.00","133,380.00","820,399.00","703,747.00",10735,100,0,100,12/31/2025
"Feely, Thomas",AZ 001,R,Y,1,R,Not an Incumbent,"1,051,263.00","365,608.00","675,188.00","685,655.00",0,330000,0,332719,12/31/2025
"Shah, Tina",NJ 007,R,Y,1,D,Not an Incumbent,"1,019,385.46","372,904.46","983,927.00","646,480.00",0,0,0,0,12/31/2025
"Shah, Amish",AZ 001,R,Y,1,D,Not an Incumbent,"1,038,768.09","486,762.09","701,731.00","643,808.00",3991,185769,0,193421,12/31/2025
"Crosswell, Ryan",PA 007,R,Y,1,D,Not an Incumbent,"1,131,097.85","518,848.85","1,085,616.00","612,249.00",0,0,0,0,12/31/2025
"Galan-Woods, Marlene",AZ 001,R,Y,1,D,Not an Incumbent,"1,114,641.36","557,518.36","1,035,734.00","557,123.00",4408,0,0,0,12/31/2025
"Villegas, Randy",CA 022,R,Y,1,D,Not an Incumbent,"872,779.00","335,104.00","830,448.00","537,674.00",0,0,0,0,12/31/2025
"Maasdam, Matthew",MI 007,R,Y,1,D,Not an Incumbent,"1,014,495.00","498,890.00","899,636.00","515,605.00",0,0,0,0,12/31/2025
"Erbeck, Steven",OH 001,D,Y,1,R,Not an Incumbent,"557,918.00","93,804.00","147,918.00","464,113.00",0,400000,0,400000,12/31/2025
"Conroy, Eric",OH 001,D,Y,1,R,Not an Incumbent,"599,704.00","160,060.00","229,034.00","439,643.00",37630,287500,0,359734,12/31/2025
"Bains, Jasmeet",CA 022,R,Y,1,D,Not an Incumbent,"630,357.00","192,826.00","540,673.00","437,530.00",0,0,0,25729,12/31/2025
"Campa-Najjar, Ammar",CA 048,R,Y,1,D,Not an Incumbent,"808,251.31","390,422.31","772,743.00","417,888.00",5862,0,0,0,12/31/2025
"Mccartney, Rick",AZ 001,R,Y,1,D,Not an Incumbent,"624,705.00","239,085.00","285,344.00","385,620.00",84124,250000,0,250000,12/31/2025
"Wettach, Taylor",IA 001,R,Y,1,D,Not an Incumbent,"680,609.00","304,947.00","683,234.00","375,662.00",0,0,0,0,12/31/2025
"Trobough, John",AZ 001,R,Y,1,R,Not an Incumbent,"462,919.00","103,346.00","5,729.00","359,572.00",56189,401000,0,401000,12/31/2025
"Merrin, Derek",OH 009,D,Y,1,R,Not an Incumbent,"493,307.00","213,216.00","281,322.00","356,741.00",0,235000,115000,120000,12/31/2025
"Brooks, Bob",PA 007,R,Y,1,D,Not an Incumbent,"608,695.00","267,927.00","502,707.00","340,767.00",3500,0,0,0,12/31/2025
"Roth, Michael",NJ 007,R,Y,1,D,Not an Incumbent,"608,907.36","279,039.36","593,522.00","329,868.00",15735,0,0,2666,12/31/2025
"Flores, Eric",TX 034,D,Y,1,R,Not an Incumbent,"853,320.00","545,666.00","498,204.00","307,654.00",0,330000,0,383164,12/31/2025
"Von Wilpert, Marni",CA 048,R,Y,1,D,Not an Incumbent,"517,582.00","213,306.00","477,762.00","304,275.00",1975,0,0,36935,12/31/2025
"Mcclure, Lamont",PA 007,R,Y,1,D,Not an Incumbent,"479,139.80","191,549.80","214,015.00","287,590.00",24000,200000,0,200000,12/31/2025
"O'rourke, Megan",NJ 007,R,Y,1,D,Not an Incumbent,"458,534.00","176,989.00","319,342.00","281,545.00",2191,130000,0,130000,12/31/2025
"Williams, Josh",OH 009,D,Y,1,R,Not an Incumbent,"556,139.00","301,021.00","560,546.00","255,118.00",0,0,0,0,12/31/2025
"Dixit, Anuj",CA 048,R,Y,1,D,Not an Incumbent,"464,671.61","222,047.61","436,682.00","242,624.00",7000,0,0,0,12/31/2025
"Chaplik, Joseph",AZ 001,R,Y,1,R,Not an Incumbent,"249,250.00","9,083.00","49,250.00","240,166.00",0,200000,0,200000,12/31/2025
"Lawrence, William",MI 007,R,Y,1,D,Not an Incumbent,"356,569.25","129,208.25","346,499.00","227,361.00",25,10000,0,10000,12/31/2025
"Munsing, Evan",CO 008,R,Y,1,D,Not an Incumbent,"484,560.00","271,261.00","472,628.00","213,299.00",0,0,0,0,12/31/2025
"Konfrst, Jennifer",IA 003,R,Y,1,D,Not an Incumbent,"592,430.00","379,721.00","579,047.00","212,708.00",57,0,0,0,12/31/2025
"Reinmann, Jessica",NY 017,R,Y,1,D,Not an Incumbent,"504,937.00","328,711.00","420,222.00","176,226.00",115000,120000,120000,0,12/31/2025
"Flores, Mayra",TX 034,D,Y,1,R,Not an Incumbent,"1,160,512.42","995,903.42","1,085,289.00","167,437.00",0,0,0,0,12/31/2025
"Strickler, Matt",VA 002,R,Y,1,D,Not an Incumbent,"218,114.00","64,369.00","217,114.00","153,744.00",0,0,0,0,12/31/2025
"Devanath, Nila",VA 002,R,Y,1,D,Not an Incumbent,"199,810.25","49,258.25","191,560.00","150,552.00",7000,0,0,0,12/31/2025
"Salas, Rudy",CA 022,R,Y,1,D,Not an Incumbent,"13,477.27","69,451.27","6,477.00","150,468.00",0,0,0,0,12/31/2025
"Swoboda, Gina",AZ 001,R,Y,1,R,Not an Incumbent,"201,755.00","54,482.00","195,655.00","147,272.00",100,0,0,0,12/31/2025
"Nadeem, Alea",OH 009,D,Y,1,R,Not an Incumbent,"498,487.10","373,238.10","459,521.00","125,249.00",0,0,0,0,12/31/2025
"Obando-Derstine, Carol",PA 007,R,Y,1,D,Not an Incumbent,"424,431.86","300,923.86","364,051.00","123,508.00",1295,12500,0,12500,12/31/2025
"Osyf, James",VA 002,R,Y,1,D,Not an Incumbent,"380,148.43","271,139.43","373,655.00","109,009.00",7000,0,0,28500,12/31/2025
"Gordon, Mark",AZ 001,R,Y,1,D,Not an Incumbent,"253,777.00","168,078.00","240,758.00","85,699.00",3899,0,0,0,12/31/2025
"Berge, Emily",WI 003,R,Y,1,D,Not an Incumbent,"388,034.00","318,226.00","386,902.00","69,808.00",1053,0,0,0,12/31/2025
"Pinsley, Mark",PA 007,R,Y,1,D,Not an Incumbent,"125,194.00","75,177.00","124,694.00","50,017.00",0,0,0,-1567,12/31/2025
"Sullivan, John",NY 017,R,Y,1,D,Not an Incumbent,"442,548.12","402,233.12","439,321.00","40,314.00",3657,0,0,37472,12/31/2025
"Sooy, Sara",NJ 007,R,Y,1,D,Not an Incumbent,"43,709.00","7,638.00","42,209.00","36,070.00",0,1500,0,1500,12/31/2025
"Adubato Ph.D., Beth",NJ 007,R,Y,1,D,Not an Incumbent,"111,680.00","78,377.00","44,037.00","33,303.00",969,66800,0,69535,12/31/2025
"Kinsel, Wayne",OH 009,D,Y,1,R,Not an Incumbent,"90,564.00","57,544.00","36,371.00","33,020.00",52193,0,0,0,9/30/2025
"Williamson, Michael",VA 002,R,Y,1,D,Not an Incumbent,"322,899.00","293,373.00","321,152.00","29,525.00",2902,0,0,0,12/31/2025
"Phillips-Staley, Effie",NY 017,R,Y,1,D,Not an Incumbent,"301,606.00","282,071.00","136,668.00","29,478.00",0,100000,0,165000,12/31/2025
"Sacks, Mike",NY 017,R,Y,1,D,Not an Incumbent,"270,938.72","245,884.72","270,964.00","25,054.00",0,0,0,0,12/31/2025
"Young, David",CO 008,R,Y,1,D,Not an Incumbent,"195,629.00","172,509.00","195,320.00","23,120.00",233,0,0,0,12/31/2025
"Porter, Ferguson",CA 048,R,Y,1,D,Not an Incumbent,"63,492.00","40,954.00","43,563.00","22,537.00",0,3130,0,16799,9/30/2025
"Cappello, John",NY 017,R,Y,1,D,Not an Incumbent,"52,800.00","33,150.00","52,800.00","19,649.00",0,0,0,14183,12/31/2025
"Vartan Iii, Gregory",NJ 007,R,Y,1,D,Not an Incumbent,"192,000.61","201,650.61","188,860.00","18,459.00",3500,0,0,0,12/31/2025
"Chavez, Abel",CA 048,R,Y,1,D,Not an Incumbent,"202,226.17","185,323.17","150,469.00","16,902.00",16550,34862,0,44,12/31/2025
"Douglas, Justin",PA 010,R,Y,1,D,Not an Incumbent,"84,690.00","70,317.00","84,901.00","14,372.00",0,0,0,0,12/31/2025
"Contreras, Corinna",CA 048,R,Y,1,D,Not an Incumbent,"12,922.00","1,163.00","12,422.00","11,758.00",500,0,0,0,12/31/2025
"Pautsch, David",IA 001,R,Y,1,R,Not an Incumbent,"44,000.00","38,107.00","27,500.00","11,590.00",0,16500,0,16500,12/31/2025
"Rosas Ph.D., Etienne",TX 034,D,Y,1,D,Not an Incumbent,"16,920.00","7,228.00","16,820.00","9,691.00",100,0,0,0,9/30/2025
"Hennrich, Brent",WA 003,D,Y,1,D,Not an Incumbent,"68,099.00","61,039.00","68,099.00","7,638.00",0,0,0,0,12/31/2025
"Benjamin, Laura",WI 003,R,Y,1,D,Not an Incumbent,"31,633.36","24,940.36","21,917.00","6,693.00",0,10000,0,10000,9/30/2025
"Harman, Isabelle",PA 010,R,Y,1,I,Not an Incumbent,"33,032.00","26,535.00","7,161.00","6,496.00",2250,22420,0,29750,12/31/2025
"Derito, Adam",CO 008,R,Y,1,R,Not an Incumbent,"26,608.00","20,390.00","7,156.00","6,218.00",0,19451,0,19451,12/31/2025
"Terrell, Travis",IA 001,R,Y,1,D,Not an Incumbent,"12,940.00","6,893.00","12,890.00","6,143.00",50,0,0,0,9/30/2025
"Dickerson, Trevor",AZ 006,R,Y,1,I,Not an Incumbent,"14,630.00","8,554.00","4,722.00","5,575.00",0,14629,0,14629,9/30/2025
"Barran, Antony",WA 003,D,Y,1,R,Not an Incumbent,"43,071.00","38,000.00","43,071.00","5,071.00",0,0,0,0,12/31/2025
"Dalton Ms., Karen",PA 010,R,Y,1,R,Not an Incumbent,"11,120.00","7,262.00","5,090.00","3,857.00",5,6025,0,6025,12/31/2025
"Cowen, Josh",MI 007,R,Y,1,D,Not an Incumbent,"180,186.00","176,388.00","199,446.00","3,797.00",0,0,0,0,12/31/2025
"Donat, Chris",AZ 006,R,Y,1,D,Not an Incumbent,"21,061.00","17,288.00","19,309.00","3,773.00",1752,0,0,0,12/31/2025
"Iannarino, Marc",CA 048,R,Y,1,D,Not an Incumbent,"40,354.00","36,821.00","40,394.00","3,532.00",0,0,0,0,12/31/2025
"Allen, Keith",TX 034,D,Y,1,R,Not an Incumbent,"95,011.51","93,212.51","18,208.00","2,743.00",2920,90363,16480,73883,12/31/2025
"Oglesby-Henry, Rosemary",OH 001,D,Y,1,R,Not an Incumbent,"41,640.00","39,209.00","39,137.00","2,430.00",2502,0,0,0,12/31/2025
"Sowers, Brandon",AZ 001,R,Y,1,R,Not an Incumbent,"16,736.00","14,781.00","4,632.00","1,955.00",12104,0,0,0,12/31/2025
"Morrison, Curtis",CA 048,R,Y,1,D,Not an Incumbent,"26,844.00","25,422.00","19,806.00","1,422.00",7037,0,0,9372,12/31/2025
"Shanahan, Whitney",CA 048,R,Y,1,D,Not an Incumbent,"4,174.00","2,984.00","1,074.00","1,385.00",0,3100,0,3100,12/31/2025
"Mosolf, Patrick",VA 002,R,Y,1,D,Not an Incumbent,"24,457.00","23,132.00","2,110.00","1,325.00",0,22647,300,22347,12/31/2025
"Hancock Jr, John",OH 001,D,Y,1,L,Not an Incumbent,"1,316.00",0,176,"1,316.00",1139,0,0,0,12/31/2025
"Kunkle Jr., Gregory",TX 034,D,Y,1,R,Not an Incumbent,"9,155.00","7,853.00","1,300.00","1,301.00",0,0,0,0,12/31/2025
"Lucio, Daniel",AZ 001,R,Y,1,D,Not an Incumbent,"2,501.00","1,461.00","1,265.00","1,040.00",0,1236,0,1236,12/31/2025
"Montoya, Angie",AZ 001,R,Y,1,D,Not an Incumbent,"3,768.00","3,110.00",658,658,3110,0,0,0,12/31/2025
"Garcia, Eric",CA 022,R,Y,1,D,Not an Incumbent,593,0,590,593,0,0,0,20910,12/31/2025
"Buentello, Luis",TX 034,D,Y,1,R,Not an Incumbent,"20,515.00","19,995.00","20,515.00",519,0,0,0,0,12/31/2025
"Garth, Michael",NJ 007,R,Y,1,D,Not an Incumbent,500,61,0,438,500,0,0,0,6/7/2025
"Sleister, Nicolaus",VA 002,R,Y,1,D,Not an Incumbent,"5,024.00","4,888.00","2,054.00",135,2970,0,0,0,9/30/2025
"Reevs, Paul",AZ 001,R,Y,1,R,Not an Incumbent,"38,730.00","38,730.00","22,700.00",0,5150,82750,49170,0,1/26/2026
"Hinojosa Jr., Alfredo",TX 034,D,Y,1,R,Not an Incumbent,"33,057.00","33,057.00","36,057.00",0,0,0,0,0,1/31/2026
"Garza, Mauro",TX 034,D,Y,1,R,Not an Incumbent,"12,502.00","12,659.00","1,000.00",0,0,11502,0,0,12/31/2025
"Del Vecchio, Brian",AZ 001,R,Y,1,D,Not an Incumbent,"9,835.00","9,835.00","9,835.00",0,0,5497,5497,0,8/17/2025
"Till Dr., Suzanne",CA 048,R,Y,1,D,Not an Incumbent,"6,853.00","6,853.00","6,499.00",0,354,0,0,0,12/4/2025
"Mendoza Esq., Valentina",NJ 007,R,Y,1,D,Not an Incumbent,"1,380.00","2,094.00",750,0,0,0,0,0,1/11/2026
"Redkey, David",AZ 001,R,Y,1,D,Not an Incumbent,0,0,0,0,0,0,0,0,12/31/2025
"Lillich, William",PA 010,R,Y,1,D,Not an Incumbent,0,0,0,0,0,0,0,0,9/30/2025
"Nagy, Jay",TX 034,D,Y,1,R,Not an Incumbent,"1,157.00","8,095.00","8,121.00","-6,937.00",0,0,0,0,12/31/2025